CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP
0.97,20.0,59.0,39.0,2.0,44.0,26.0,41.0,1.0,17.0,127.0,0.8
0.94,30.0,68.0,38.0,2.0,34.0,18.0,41.0,1.0,16.0,174.0,1.3
0.86,28.0,63.0,35.0,1.0,34.0,17.0,45.0,1.0,15.0,170.0,1.5
1.45,63.0,98.0,35.0,1.0,39.0,20.0,44.0,2.0,15.0,192.0,1.4
1.82,77.0,114.0,37.0,2.0,49.0,28.0,39.0,2.0,16.0,185.0,1.3
1.55,59.0,102.0,43.0,6.0,46.0,22.0,32.0,2.0,18.0,162.0,1.5
1.77,63.0,134.0,71.0,10.0,52.0,24.0,30.0,4.0,20.0,60.0,1.8
1.35,29.0,99.0,70.0,32.0,69.0,33.0,28.0,4.0,21.0,32.0,2.0
0.79,7.0,48.0,41.0,60.0,92.0,53.0,21.0,4.0,23.0,65.0,1.8
0.82,5.0,46.0,41.0,74.0,75.0,49.0,14.0,3.0,25.0,15.0,1.9
0.83,3.0,43.0,40.0,100.0,58.0,36.0,11.0,3.0,27.0,11.0,1.8
0.81,3.0,39.0,36.0,111.0,65.0,44.0,9.0,3.0,28.0,17.0,2.3
0.83,2.0,42.0,39.0,112.0,65.0,40.0,8.0,3.0,29.0,339.0,2.5
0.69,2.0,34.0,32.0,110.0,63.0,39.0,9.0,4.0,29.0,356.0,2.1
0.61,1.0,28.0,27.0,93.0,57.0,31.0,12.0,4.0,29.0,83.0,3.0
0.69,0.0,27.0,27.0,69.0,60.0,25.0,18.0,1.0,27.0,127.0,2.7
0.78,0.0,33.0,32.0,39.0,54.0,19.0,23.0,0.0,25.0,114.0,2.7
